Title,Year,Venue,DOI link,Screening judgement,ReasonCode,ReasonNote,Full-Text Accessibility,Publication Language,Multiple Paradigms,Paradigmatic Compatibility Focus
"Model-based, client-side integration of heterogeneous data from REST services",2018,-,-,Exclude,EC2,"The paper presents primary research on data integration and API compatibility, but does not specifically focus on paradigmatic compatibility. It is more about data integration across APIs.",maybe,yes,no,no
Designing For Quality With TheMetaparadigm,1970,-,https://doi.org/10.2495/SQM930121,Exclude,EC2,"The paper appears to be primarily theoretical, discussing metadesign paradigms and software quality concepts, rather than primary research on paradigmatic compatibility or a systematic review of paradigm integration.",maybe,yes,maybe,maybe
An Experimental Usability Evaluation Framework for Model-Driven Tools,2011,-,-,Exclude,EC2,"The paper appears to be primary research focused on developing a framework for evaluating MDD tools, but it does not specifically investigate paradigmatic compatibility. It focuses on usability evaluation of MDD tools.",maybe,yes,no,no
On the Convergence of Experimental Methodologies for Distributed Systems: Where do we stand?,2013,-,-,Exclude,EC1,"The abstract describes a study on experimental paradigms in distributed systems, demonstrating strong methodological rigor and empirical validation across multiple approaches. While the paper exhibits sophisticated research techniques and addresses paradigm in…",maybe,yes,maybe,maybe
Vers une unification des différents paradigmes de la théorie de la décision : une approche basée sur les mesures non-additives et la théorie du mesurage,1999,-,-,Exclude,EC2,"This appears to be a theoretical mathematics/decision theory thesis focusing on measurement theory and decision-making paradigms, and does not investigate programming paradigm compatibility or software measurement.",maybe,yes,no,no
Top-down part of the meta process,-,-,-,Exclude,EC2,"The paper appears to be primary research, but it focuses on software process modeling and metrics rather than paradigmatic compatibility. The study combines G-Q-M paradigm with SOCCA approach, but this is about process modeling, not programming paradigms.",maybe,yes,no,no
A Verified Integration of Imperative Parallel Programming Paradigms in an Object-Oriented Language,1993,-,-,Exclude,EC1,The study demonstrates strong alignment with screening criteria by exploring paradigmatic compatibility between object-oriented and imperative programming models through formal verification. It effectively addresses multiple programming paradigms and their int…,maybe,yes,yes,yes
Empiricité en linguistique et grammaire de Montague : la sémantique en 5P et la compositionnalité,2001,-,-,Exclude,EC2,"This appears to be a theoretical analysis of semantic choices in the 5P paradigm and Montague grammar, rather than primary research on paradigmatic compatibility or a systematic review of paradigm integration.",maybe,yes,maybe,maybe
Verification and validation in systems engineering : application to UML 2.0 activity and class diagrams,2006,-,-,Exclude,EC1,"While the paper discusses multiple modeling languages, these are not programming paradigms in the sense typically meant by this criterion (e.g., object-oriented, functional, procedural).",maybe,yes,no,no
Model-Solver Integration in Decision Support Systems : A Web Services Approach,2003,-,-,Exclude,EC1,"A research paper exploring model-solver integration across different mathematical modeling paradigms, presenting a Web services framework for compatibility and solver selection. While addressing paradigmatic integration, the study lacks clear evidence of empir…",maybe,yes,yes,yes
An Architectural Proposal for a Model-Driven Environment to Support Lightweight Formal Software Engineering,2015,-,-,Exclude,EC6,The abstract does not mention any quantitative components or measurements. It appears to be primarily architectural and theoretical.,maybe,yes,yes,maybe
STANDARDS COMPLIANT PLATFORM FOR PRODUCT DESIGN IN DYNAMIC ENVIRONMENTS,2014,-,https://doi.org/10.29268/STSC.2014.2.2.4,Exclude,EC2,"The paper presents a framework and formal analysis, but it is not primarily focused on paradigmatic compatibility. While it discusses SaaS paradigm compliance, this is more about standard compliance than paradigm integration.",maybe,yes,no,no
Revision of the combined metamodel,2010,-,https://doi.org/10.5281/ZENODO.12238,Exclude,EC1,"The study explores paradigmatic integration between ontologies and model-driven software development, demonstrating strong alignment with multiple paradigm compatibility and conceptual integration criteria. While showing promise in addressing cross-paradigm in…",maybe,yes,yes,yes
Towards an Hybrid Temporal Paradigm for Musical Composition and Performance,2013,-,-,Exclude,EC2,"While the paper discusses paradigm integration, it focuses on music paradigms rather than programming paradigms, which is a critical mismatch with the screening criteria.",maybe,yes,no,no
4. Experiences 5. Other Approaches 3.3. Sspf Architecture 3.4. Sspf Modeling Paradigm 3.1. Sspf Functionalities 3.2. Design Challenges and Issues 3. a Model-integrated System: Sspf,-,-,-,Exclude,EC2,"The paper appears to be primary research about model-integrated computing and software development processes, but it does not specifically focus on paradigmatic compatibility.",maybe,yes,no,no
combining formal theories and statistical data in natural language processing,2000,-,-,Exclude,EC2,"This appears to be an introduction/overview paper rather than primary research or a systematic review. While it discusses paradigm integration (symbolic vs. statistical approaches), it seems to be more of a conference introduction or editorial piece.",yes,yes,yes,yes
Dynamic knowledge modelling,1996,-,-,Exclude,EC1,"The abstract discusses knowledge integration across modeling paradigms, but diverges from the specific focus on programming paradigms and quantitative metrics. While addressing multiple paradigms and integration challenges, the study lacks clear empirical vali…",maybe,yes,maybe,maybe
Idea Grou p Inc . Copy right Idea Grou p Inc . Copy right Idea Grou p Inc . Copy right Idea Grou p Inc . Chapter V XML-Based Toolkit for Interoperability of Web Information Systems,2018,-,-,Exclude,EC6,The abstract suggests a theoretical framework without mention of quantitative measurements or systematic observations.,yes,yes,maybe,maybe
Magic Potion : A Metalanguage for Incorporating New Development,2010,-,-,Exclude,EC1,"The study presents a novel approach to integrating multiple programming paradigms through a domain-specific metalanguage, demonstrating strong alignment with criteria related to paradigmatic compatibility and multi-paradigm interactions. While the research sho…",maybe,yes,yes,yes
Object-Oriented Frameworks as Basis for Modularity in Program-Language Design,2006,-,-,Exclude,EC6,"There is no clear indication of quantitative components or measurements, and the approach seems primarily conceptual.",maybe,yes,yes,yes
On the evaluation of aggregated web search,2014,-,-,Exclude,EC2,"While the paper is primary research, it focuses on evaluation metrics for aggregated search rather than paradigmatic compatibility between programming paradigms. The ""paradigm"" mentioned refers to search evaluation methodology, not programming paradigms.",maybe,yes,no,no
A Comparative Study of Structural Composition Methods and Techniques,2016,-,https://doi.org/10.17265/1934-7332/2016.03.005,Exclude,EC1,"The abstract addresses model composition in model-driven engineering, partially meeting criteria related to paradigm integration and multiple paradigms. However, significant uncertainties exist regarding empirical validation, quantitative analysis, and the dep…",maybe,yes,maybe,maybe
An Introduction to Paradigm,2002,-,-,Exclude,EC1,"The paper does not appear to address different programming paradigms or their compatibility. Instead, it focuses on process modeling paradigms.",maybe,yes,no,no
Integrating Object-Oriented Methods and Models,2007,-,-,Exclude,EC6,"No quantitative components or measurements are mentioned in the abstract, indicating that the discussion appears to be qualitative.",maybe,yes,yes,maybe
Un paradigme de modélisation pour la conception de l ’ avionique modulaire intégrée,2005,-,-,Exclude,EC1,"The study presents a modeling framework for avionics design that integrates multiple programming paradigms, with partial alignment to screening criteria around paradigmatic compatibility. While demonstrating validation techniques and addressing multiple modeli…",maybe,yes,yes,maybe
Measurement and Modelling of Interactions between Environment and Components: A Theoretical Characterizatio n,2005,-,-,Exclude,EC1,"While the paper discusses interactions between different components and platforms, it doesn't explicitly address different programming paradigms.",maybe,yes,no,no
The Support for the Integration of BIM Through Collaborative Action Research: ShareLab,2016,-,-,Exclude,EC2,"The paper appears to be primary research investigating BIM integration, but it is focused on architectural/engineering firms rather than programming paradigms. It does not align with the intended focus on paradigmatic compatibility in software.",maybe,yes,no,no
Characterizing Compatibility of Timed Choreography,2018,-,-,Exclude,EC1,"The paper doesn't address different programming paradigms. Instead, it focuses on compatibility between web services within the service-oriented computing paradigm.",yes,yes,no,no
"Component-based Programming under Different Paradigms a Personal View on Components Gj: Making Java Easier to Type, and Easier to Type Polytypic Programming a Simple Approach to Generic Functional Programming Behavior Protocols and Components Separation of Concerns with Adaptive Plug-n-play Componen",-,-,-,Exclude,EC6,"No mention of quantitative components, measurements, or systematic observations. The focus appears to be on theoretical discussion and practical know-how.",maybe,yes,yes,yes
Understanding the Nature of Multi-Paradigm Modeling for Cyberphysical Systems,2017,-,-,Exclude,EC1,"The study addresses multi-paradigm modeling in cyber-physical systems through an empirical industry survey, focusing on paradigmatic compatibility and integration across different modeling techniques. While promising strong methodological rigor and practical r…",maybe,yes,yes,yes
"Preprint Mcs-p422-0394, Mathematics and Computer Science Division, Argonne National Laboratory Libraries for Parallel Paradigm Integration",1994,-,-,Exclude,EC1,"The study demonstrates strong alignment with paradigmatic compatibility by proposing extensions to Fortran that integrate task and data parallelism paradigms. While the abstract clearly addresses multiple programming paradigms and their integration, there are …",maybe,yes,yes,yes
Automatic Schema Matching as a Complex Adaptive System: a new Approach based on Agent-based Modeling and Simulation,2019,-,-,Exclude,EC2,"The paper presents primary research, but it focuses on schema matching using Complex Adaptive Systems theory rather than paradigmatic compatibility. While it mentions a ""paradigm shift,"" this appears to be about the approach to schema matching rather than prog…",maybe,yes,no,no
Metrics-guided models and methods for cost and quality management of component-based software,2003,-,-,Exclude,EC1,"The paper does not explicitly address different programming paradigms. While it discusses component-based systems, this is more about technical components rather than programming paradigms.",maybe,yes,no,no
Exploring Interface Paradigms for Information Models Mapping,2012,-,-,Exclude,EC2,"The paper presents primary research on interface paradigms for mapping information models, but this is not specifically about programming paradigms or their integration, which is a significant mismatch with the criterion.",maybe,yes,no,no
