Title,Authors,DOI,DOI link,Venue,Citation count,Year
Electronic Communications of the EASST Volume 21 ( 2009 ) Proceedings of the 3 rd International Workshop on Multi-Paradigm Modeling ( MPM 2009 ) Concurrent Design of Embedded Control Software,"Marcel A. Groothuis, Raymond Frijns, J. Voeten, J. Broenink",-,-,-,0,2009
Aiding Design Decision Making: Adapting Mathematical Paradigms to Fit Designers’ Actual Needs,"C. Hayes, F. Akhavi",10.1115/DETC2008-49929,https://doi.org/10.1115/DETC2008-49929,-,1,2008
Revisiting comparable corpora in connected space,Pierre Zweigenbaum,-,-,-,1,2015
The Bayesian fusion paradigm for integrating geophysical models: theoretical framework and application to sedimentary basin exploration,"N. P. Agostinetti, A. Licciardi",-,-,-,0,2019
Towards a Quantitative Framework for Evaluating the Expressive Power of Conceptual System Models,"Yaniv Mordecai, D. Dori",10.1002/j.2334-5837.2016.00144.x,https://doi.org/10.1002/j.2334-5837.2016.00144.x,-,2,2016
User Evaluation of the Movement of Virtual Humans,"H. V. Welbergen, Sander E. M. Jansen",-,-,-,0,2009
Querying paradigms for the web (פרדיגמות לשאילתות מעל מידע באינטרנט.),B. Kimelfeld,-,-,-,1,2008
MDE 2.0 : Pragmatical formal model verification and other challenges,Jordi Cabot,-,-,-,2,2012
Faire face aux exigences de comparabilité dans l'évaluation des compétences en langue seconde,"Isabelle Monnard, C. T. Christinat",10.24452/sjer.23.1.4603,https://doi.org/10.24452/sjer.23.1.4603,-,0,2001
Mesure du potentiel des tâches d’interaction. Expérimentation et perspectives méthodologiques,Elena Cosereanu-Declerck,10.4000/TIPA.203,https://doi.org/10.4000/TIPA.203,-,1,2012
Comparing integration effort and correctness of different merge approaches in version control systems,Guilherme Cavalcanti,-,-,-,1,2016
Combining experimental studies and computational modeling: the locus of semantic interference in the picture-word interference task,-,-,-,-,0,2013
Question-learn-test-feedback pattern to test emerging software construction paradigms,Benoit Baudry,-,-,-,0,2010
Visual Interfaces for Model Mapping – Large Mapping Visualization,"António Painha, Hugo Manguinhas, J. Borbinha",-,-,-,0,2012
La Programmation Bayésienne d'un modèle computationnel intégrateur permet de comparer uniformément les différentes théories cognitives de la perception de la parole,"R. Laurent, J. Schwartz, P. Bessière, J. Diard",-,-,-,0,2011
"Model-based, client-side integration of heterogeneous data from REST services","Milan Zdravković, N. Vitković, M. Trajanovic, M. Trifunović, N. Korunović",-,-,-,0,2018
An important issue in the study of perception and action,"W. Notebaert, W. Moor, W. Gevers, Robert, J., Hartsuiker",-,-,-,0,2008
INTEGRATION IN MANUFACTURING: AN INFORMATION THEORETIC PERSPECTIVE,"Cheng Hsu, L. Rattner",10.1111/j.1937-5956.1992.tb00360.x,https://doi.org/10.1111/j.1937-5956.1992.tb00360.x,-,2,1992
Raisonnement catégorique : étude génétique des jugements de compatibilité,D. Déret,-,-,-,1,1995
Designing For Quality With TheMetaparadigm,P. Kokol,10.2495/SQM930121,https://doi.org/10.2495/SQM930121,-,0,1970
An Experimental Usability Evaluation Framework for Model-Driven Tools,"José Ignacio Panach, Nelly Condori-Fernández, A. Baars, T. Vos, Ignacio Romeu, Óscar Pastor, Jose Ignacio Panach1, Arthur Baars1, Tanja Vos1, Ignacio Romeu1, Óscar Pastor1",-,-,-,2,2011
From function to system: Advances in choosing a matrix structure of the translation process,"N. Irina, A. N. Liliya, C. David",-,-,-,2,2016
On the Convergence of Experimental Methodologies for Distributed Systems: Where do we stand?,"Maximiliano Geier, L. Nussbaum, M. Quinson",-,-,-,2,2013
Vers une unification des différents paradigmes de la théorie de la décision : une approche basée sur les mesures non-additives et la théorie du mesurage,François Modave,-,-,-,2,1999
A comparison between three different approaches to omplement a system dynamic model: an assessment by a multidisciplinary team.,"M. C. Freua, L. G. Barioni, R. G. D. Vilamiu, F. R. T. Dias",-,-,-,0,2014
Top-down part of the meta process,"Tineke de Bunje, G. Engels, L. Groenewegen, Michael Heus, Aart A. J. Matsinger",-,-,-,0,-
What is a Zero-Difficulty Movement? A Scale of Measurement Issue in Fitts' Law Research,"Y. Guiard, Halla B. Olafsdottir",-,-,-,1,2010
A Verified Integration of Imperative Parallel Programming Paradigms in an Object-Oriented Language,Paul Sivilotti,-,-,-,1,1993
Empiricité en linguistique et grammaire de Montague : la sémantique en 5P et la compositionnalité,G. Bès,-,-,-,2,2001
Compatibilização do Paradigma Relacional com o Paradigma Orientado a Objetos,"Marcelo Maboni Hoppen, S. Dill",-,-,-,0,2012
Verification and validation in systems engineering : application to UML 2.0 activity and class diagrams,Luay Alawneh,-,-,-,2,2006
Model-Solver Integration in Decision Support Systems : A Web Services Approach,"Keun-Woo Leea, Soon-Young Huha",-,-,-,2,2003
An Architectural Proposal for a Model-Driven Environment to Support Lightweight Formal Software Engineering,"Elias Adriano Nogueira da Silva, V. V. G. Neto",-,-,-,0,2015
STANDARDS COMPLIANT PLATFORM FOR PRODUCT DESIGN IN DYNAMIC ENVIRONMENTS,"Malik Khalfallah, Nicolas Figay, M. Barhamgi, P. Ghodous",10.29268/STSC.2014.2.2.4,https://doi.org/10.29268/STSC.2014.2.2.4,-,0,2014
Uso do BIM para compatibilização de projetos: Barreiras e oportunidades em uma empresa construtora,D. Paiva,-,-,-,2,2016
Revision of the combined metamodel,"Tobias Walter, Fernando Silva Parreiras, Gerd Gröner",10.5281/ZENODO.12238,https://doi.org/10.5281/ZENODO.12238,-,0,2010
Towards an Hybrid Temporal Paradigm for Musical Composition and Performance,"M. Desainte-Catherine, A. Allombert, G. Assayag",-,-,-,0,2013
4. Experiences 5. Other Approaches 3.3. Sspf Architecture 3.4. Sspf Modeling Paradigm 3.1. Sspf Functionalities 3.2. Design Challenges and Issues 3. a Model-integrated System: Sspf,"T. Gallo, G. Serrano, F. Tisato: "" Ob, M. Ganti, P. G O Y Al, S. Podar, A. Object, S. Ornburn, R. J. Leblanc: "" Build",-,-,-,0,-
combining formal theories and statistical data in natural language processing,"Karen Sparck Jones, Gerald Gazdar, R. Needham",-,-,-,0,2000
Dynamic knowledge modelling,N. Smith,-,-,-,1,1996
Idea Grou p Inc . Copy right Idea Grou p Inc . Copy right Idea Grou p Inc . Copy right Idea Grou p Inc . Chapter V XML-Based Toolkit for Interoperability of Web Information Systems,"C. Nicolle, K. Yétongnon",-,-,-,2,2018
Magic Potion : A Metalanguage for Incorporating New Development,"D. Djuric, V. Devedzic",-,-,-,0,2010
USING UML MODELS TO MEASURE SOFTWARE PRODUCT LINES MANUTENABILITY,"Felipe Nunes Gaia, Diego Fernandes da Silva",10.5748/9788599693124-13CONTECSI/RF-4203,https://doi.org/10.5748/9788599693124-13CONTECSI/RF-4203,-,0,2016
Semantische Integration beim auditiven Sprachverständnis,"I. Henseler, Gesa Hartwigsen, C. Wendt, D. Saur",10.1055/s-0033-1337256,https://doi.org/10.1055/s-0033-1337256,-,0,2013
Perception de l'espace : paradigme de son intégration et validation expérimentale préliminaire,"Edwige E. Pissaloux, Ramiro Velazquez",-,-,-,0,2008
Using transition traces to model a security protocol,S. Brookes,-,-,-,0,2003
Computational Science and Fluid Dynamics Plug and Play Approach to Verification and Validation,G. Lapenta,-,-,-,0,-
Object-Oriented Frameworks as Basis for Modularity in Program-Language Design,"M. H. Emden, S. C. Somosan",-,-,-,0,2006
On the evaluation of aggregated web search,K. Zhou,-,-,-,0,2014
La Efi cacia del Paradigma de Producción para Promover la Recuperación de Análogos Interdominio The Effectiveness of the Production Paradigm in Eliciting Cross-Domain Analogical Retrieval,"Máximo Trench, Nicolás Oberholzer, Fernando Adrover, Ricardo A. Minervino",-,-,-,0,2009
A Comparative Study of Structural Composition Methods and Techniques,"Nisrine, Marzouki, Younès, Lakhrissi, Mohammed, Mohajir",10.17265/1934-7332/2016.03.005,https://doi.org/10.17265/1934-7332/2016.03.005,-,0,2016
An Introduction to Paradigm,"S. C. V. D. Made-Potuijt, A. Bruin",-,-,-,0,2002
Do Information Search Patterns Reflect Integration Rules (Geven Informatie-Zoekpatronen Integratieregels Weer),J. H. Kerstholt,-,-,-,0,1990
Integrating Object-Oriented Methods and Models,"S. Bodily, S. Woodfield",-,-,-,0,2007
Un paradigme de modélisation pour la conception de l ’ avionique modulaire intégrée,"Christian Brunette, R. Delamare, A. Gamatié, T. Gautier, Jean-Pierre Talpin",-,-,-,0,2005
A Paradigm for Compound Production,Dermot Lynott,-,-,-,0,2003
"Cohérence locale, coordination globale et modèle dyadique : études développementales du raisonnement sériel et catégorique chez l'enfant et l'adulte",Abdoulaye Yoda,-,-,-,0,2000
Interacting with Navigation Devices: A Case Study,"J. Calle, Esperanza Albacete, Enrique Sánchez, D. Cuadra",-,-,-,0,2011
Measurement and Modelling of Interactions between Environment and Components: A Theoretical Characterizatio n,Giardini Naxos,-,-,-,0,2005
Method: Quantitative and Qualitative Analyses of Metaphor,Veronika Koller,10.1057/9780230511286_3,https://doi.org/10.1057/9780230511286_3,-,0,2004
The Support for the Integration of BIM Through Collaborative Action Research: ShareLab,"Charlène Naville, Pierre Leclercq, S. B. Rajeb",-,-,-,0,2016
Characterizing Compatibility of Timed Choreography,Nawal Guermouche,-,-,-,0,2018
"Component-based Programming under Different Paradigms a Personal View on Components Gj: Making Java Easier to Type, and Easier to Type Polytypic Programming a Simple Approach to Generic Functional Programming Behavior Protocols and Components Separation of Concerns with Adaptive Plug-n-play Componen","P. Wadler, K. Weihe, Konstanz, K. Weihe, P. Wadler, Johan Jeuring, Ralf Hinze, F. Plášil, Stanislav Visnovsky, Miloslav Bešta, Mira Mezini, Karl Lieberherr, Günter Kniesel, Peter Thiemann, Todd Veldhuizen, Thomas Genßler, Fzi Karlsruhe, Erik Meijer, Lutz Kettner, S. Krishnamurthi, Reinhard Budde, Gmd",-,-,-,0,-
A Paradigm for the Identification of Independent Cognitive Constructs,"J. Fowlkes, R. Kennedy, W. Dunlap, M. Harbeson",10.1177/154193128803201605,https://doi.org/10.1177/154193128803201605,-,0,1988
Understanding the Nature of Multi-Paradigm Modeling for Cyberphysical Systems,"Alex Norta Ttu, Patrizio Pelliccione, Barbora Buhnova, Alessio Bucaioni",-,-,-,0,2017
Design and Analysis of the Paradigm Managerial Integration in Product Innovation,Huang Shu-hu,-,-,-,0,2003
Diversité culturelle au travail et pratiques d'intégration formelles et informelles : fondements théoriques et étude de cas,Annie Côté,-,-,-,0,2007
"Preprint Mcs-p422-0394, Mathematics and Computer Science Division, Argonne National Laboratory Libraries for Parallel Paradigm Integration","Ian T Foster, Ming Q. Xu",-,-,-,0,1994
THE SPIRAL ANDROMEDA PARADIGM; An Interpretation on Science Integration of,"Harmaini, Amin Kadir, Imam Hanafi, Sofiandi, Kata Kunci Abstrak",-,-,-,0,-
Automatic Schema Matching as a Complex Adaptive System: a new Approach based on Agent-based Modeling and Simulation,"Hicham Assoudi, H. Lounis",-,-,-,0,2019
Metrics-guided models and methods for cost and quality management of component-based software,"Sahra Sedigh Sarvestani, A. Ghafoor",-,-,-,0,2003
Holistic and Componential Processing for Two-Digit Numbers,Zhai Xi,10.3724/sp.j.1041.2009.00406,https://doi.org/10.3724/sp.j.1041.2009.00406,-,0,2009
Exploring Interface Paradigms for Information Models Mapping,"António Painha, Hugo Manguinhas, J. Borbinha, R. A. Redol",-,-,-,0,2012
